,link,most_freq_positioning
9146,são tomé and príncipe,bottom
9147,søren kierkegaard,top
9148,süleyman i (the magnificent),top
9149,sāsānids,center-bottom
9150,t-34,top
9151,t. rex,bottom
9152,t. s. eliot,bottom
9153,t.s. kuhn,bottom
9154,ta,center-bottom
9155,table of thermodynamic temperatures,center
9156,table salt,top
9157,taboo in western countries,center-top
9158,taft,center-top
9159,tagore,bottom
9160,taipei,center-top
9161,"taipei, taiwan",center-bottom
9162,taiwan,top
9163,taiwan island,center-top
9164,taiwanese,bottom
9165,taj mahal,bottom
9166,tajikistan,bottom
9167,take,center-bottom
9168,talc,center-bottom
9169,tallest,center
9170,tamerlane,bottom
9171,tamil,top
9172,tamil dynasties,bottom
9173,tamil kingdoms,center-bottom
9174,tamil language,center
9175,tamil people,bottom
9176,tamilians,center-bottom
9177,tamils,center-bottom
9178,tanganyika,top
9179,tank,center
9180,tanks,center
9181,tansy,top
9182,tantalum,top
9183,tanzania,bottom
9184,tanzania child sponsorship,center
9185,tanzanian,top
9186,tao te ching,top
9187,taoism,center-bottom
9188,taoist,top
9189,targeting israeli vehicles,bottom
9190,tarragon,center
9191,tashkent,center-top
9192,tasmanian devil,center-top
9193,tawny owl,center-top
9194,taxonomy,top
9195,tay bridge,top
9196,tay rail bridge,bottom
9197,tay-sachs disease,center-bottom
9198,tchaikovsky,center-top
9199,tchaikovsky's,center-top
9200,tea,center-top
9201,tear gas,bottom
9202,teas,center
9203,technetium,center-bottom
9204,technological,center-top
9205,technologies,bottom
9206,technology,top
9207,technomania,bottom
9208,tectonic,top
9209,tectonic activity,center-top
9210,tectonic plate,center-top
9211,tectonic plates,top
9212,teddy roosevelt's,bottom
9213,tehran,center-bottom
9214,tel aviv,bottom
9215,telecommunication,top
9216,telecommunication systems,center-top
9217,telecommunications,bottom
9218,telephone,center-top
9219,telephones,center-top
9220,telescope,top
9221,telescopes,top
9222,telescopic,center-bottom
9223,telescopy,top
9224,televised,top
9225,television,top
9226,television broadcasts,top
9227,television drama,bottom
9228,television programs,center-bottom
9229,televisions,top
9230,tellurium,top
9231,temperate,top
9232,temperate climate,center-top
9233,temperate climate zone,center
9234,temperate marine,center-top
9235,temple,center
9236,ten-wheelers,center
9237,tennis,bottom
9238,tennis masters cup,center
9239,tenth,top
9240,tenth centuries,center-top
9241,tenth century,top
9242,tenzin gyatso,center
9243,"tenzin gyatso, the 14th dalai lama",bottom
9244,tenzing,center-bottom
9245,tenzing norgay,center
9246,terbium,bottom
9247,terminology,top
9248,tern,top
9249,terneries,bottom
9250,terns,top
9251,terrestrial,top
9252,territorial capital,top
9253,terrorism,top
9254,terrorist,center
9255,terrorist attacks,center
9256,terrorists,center
9257,terry rance,top
9258,tesla,center-bottom
9259,testimonials from child sponsors,center-bottom
9260,testimonies,top
9261,tex,top
9262,textile,top
9263,textile weaving,top
9264,textiles,center-bottom
9265,tgv,center-bottom
9266,th,center-bottom
9267,thai,bottom
9268,thailand,bottom
9269,thailand child sponsorship,center-bottom
9270,thais,center
9271,thalassemia,bottom
9272,thalassemia minor,center
9273,thallium,top
9274,thames,top
9275,thames valley,top
9276,thatcher,center-top
9277,thatcherite,bottom
9278,the 32nd u.s. state,top
9279,the absent-minded beggar,bottom
9280,the adventures of tintin,center-top
9281,the anarchy,top
9282,the ashes,center-bottom
9283,the bahamas,top
9284,the beano,top
9285,the beatles,top
9286,the beatles',center-top
9287,the bible,top
9288,the biological pump,top
9289,the blitz,top
9290,the boy shop pets,center
9291,the broads,center-top
9292,the brothers karamazov,center
9293,the buddha,top
9294,the canadian,center
9295,the cantos,center
9296,the cat in the hat,center-bottom
9297,the catastrophic effects,top
9298,the channel,center
9299,the code of hammurabi,center-bottom
9300,the concept,bottom
9301,the conquest,center-bottom
9302,the consolation of philosophy,center-bottom
9303,the continent,top
9304,the count of monte cristo,center-top
9305,the country wife,center
9306,the created order,center
9307,the crown,top
9308,the dalai lama,center
9309,the dandy,center-bottom
9310,the diary,top
9311,the distrito federal,center
9312,the duke of wellington,bottom
9313,the duke of york,center
9314,the el niño effect,center-top
9315,the fairy-queen,center-top
9316,the fens,center-top
9317,the fifth,center-bottom
9318,the first artificial satellite,bottom
9319,the first modern olympic games,top
9320,the franchise,top
9321,the gambia,bottom
9322,the godfather,center-bottom
9323,the great exhibition,top
9324,the great lakes,center-bottom
9325,the great war,top
9326,the hague,top
9327,the hitchhiker's guide to the galaxy,center-bottom
9328,the hobbit,center-bottom
9329,the holocaust,top
9330,the holy see,top
9331,the illuminatus! trilogy,top
9332,the importance of being earnest,center
9333,the industrial revolution,center
9334,the kabin,center-bottom
9335,the king,center
9336,the last supper,center
9337,the laws of nature,center
9338,the lion king,bottom
9339,"the lion, the witch and the wardrobe",center-bottom
9340,the lorax,center-bottom
9341,the lord of the rings,top
9342,the lord of the rings film trilogy,center-bottom
9343,the lyme controversy--long-term antibiotic therapy,center
9344,the lyme controversy--testing,center-top
9345,the lyme controversy--two standards of care,center
9346,the magic flute,top
9347,the marquess of salisbury,bottom
9348,the marriage of figaro,center-bottom
9349,the merchant of venice,center
9350,the middle ages,center-top
9351,the middle east,center
9352,the milanese,center-bottom
9353,the mismeasure of man,bottom
9354,the moon,center-top
9355,the most ancient and most noble order of the thistle,top
9356,the most honourable order of the bath,center-bottom
9357,the most noble order of the garter,top
9358,the nature of the knowing mind,top
9359,the nazis,bottom
9360,the netherlands,top
9361,the odyssey,bottom
9362,the old man and the sea,top
9363,the olympics,top
9364,the one that struck the same region,center-bottom
9365,the origin of species,top
9366,the philippines,center-top
9367,the picture of dorian gray,center
9368,the pilgrim's progress,center
9369,the plague,center-top
9370,the possibilities are endless!,center-top
9371,the prince of wales,top
9372,the prince regent,center-top
9373,the quatermass experiment,bottom
9374,the queen,center-top
9375,the queen in council,center-top
9376,the queen's,top
9377,"the referee, the yellow cards and the donations to ""6 villages for 2006""",center-top
9378,the reich,center-top
9379,the relapse,center-top
9380,the report,top
9381,the rime of the ancient mariner,center-bottom
9382,the rite of spring,bottom
9383,the rolling stones,center-bottom
9384,the roman catholic church,center-bottom
9385,the royal national theatre in london,bottom
9386,the seagull,center-top
9387,the second world war,center-bottom
9388,the senate,center-bottom
9389,the shawshank redemption,center-bottom
9390,the significance of radians,center-top
9391,the simpsons,bottom
9392,the smiths,center-bottom
9393,the somme,center
9394,the south,top
9395,the struggle against napoleon,bottom
9396,the supremes,top
9397,the temptations,top
9398,the tragedy of macbeth,center-top
9399,the trials of shazam!,top
9400,the uk,top
9401,the union of south africa,top
9402,the united kingdom,center-bottom
9403,the united states of america,center-bottom
9404,the universe,top
9405,the universe is expanding,top
9406,the university of texas at austin,bottom
9407,the virginian railway company,center-bottom
9408,the wall street journal,bottom
9409,the war,center-top
9410,the war against the greens,top
9411,the waste land,center-bottom
9412,the west wing,bottom
9413,the williamites,top
9414,the world,top
9415,the x-files,center
9416,theaters,center-bottom
9417,theatre,top
9418,theatre in the round,top
9419,theatre royal,top
9420,"theatre royal, drury lane",top
9421,theatres,center
9422,theatrical,center
9423,theodore roosevelt,top
9424,theory,top
9425,theory of evolution,center
9426,there,top
9427,thermal,top
9428,thermodynamic,bottom
9429,thermodynamic (absolute) temperature,top
9430,thermodynamic phase,top
9431,thermodynamic temperature,bottom
9432,thermodynamic variables,top
9433,thermodynamic work,top
9434,thermodynamically,center-top
9435,thermodynamics,top
9436,theropod,top
9437,theropod dinosaurs,top
9438,theropoda,top
9439,theropods,center
9440,the gambia,bottom
9441,thiamine,bottom
9442,third century,center-top
9443,third servile war,top
9444,thirteenth,center-bottom
9445,thirteenth century,top
9446,thistle,center
9447,thistle finch,center-bottom
9448,thomas aquinas,center-bottom
9449,thomas becket,center-bottom
9450,thomas cranmer,top
9451,thomas edison,top
9452,thomas gainsborough,center
9453,thomas hobbes,center
9454,thomas jefferson,top
9455,thomas jefferson's,center-bottom
9456,thomas malthus,center-top
9457,thomas more,center
9458,thomas pynchon,center
9459,thor,top
9460,thoracic,center-top
9461,thorax,top
9462,thorium,center-bottom
9463,thorium-232,top
9464,thrasybulus,center
9465,three gorges dam,center
9466,three interrelated persons,center-bottom
9467,three laws of robotics,center-top
9468,three persons,center-bottom
9469,threshold,center-bottom
9470,threshold and initiation,top
9471,thrush,top
9472,thrushes,center
9473,thrust,top
9474,thucydidean,center-bottom
9475,thucydides,center-top
9476,thulium,center-bottom
9477,thunderstorm,center-top
9478,thunderstorms,center-top
9479,ti,center-bottom
9480,tiananmen square protests of 1989,center-top
9481,tibet,top
9482,tibetan,top
9483,tibetans,center-bottom
9484,tidal,bottom
9485,tidal activity,center
9486,tidal forces,bottom
9487,tide,top
9488,tides,center
9489,tiger,top
9490,tiger shark,center-bottom
9491,tiger sharks,center
9492,tiger woods,center
9493,tigers,center
9494,tightly knit group,top
9495,tigress,center-bottom
9496,tigris,center
9497,tigris river,top
9498,tijuana,bottom
9499,tiktaalik,top
9500,tile mosaics,center-bottom
9501,tim berners-lee,bottom
9502,tim henman,center-bottom
9503,timbuktu,center-bottom
9504,time,top
9505,time is relative,bottom
9506,time zone,center-bottom
9507,time zones,center
9508,time-dependence,top
9509,timeline,top
9510,timepieces,center-bottom
9511,timken 1111,bottom
9512,timur,top
9513,timur lang,top
9514,timurid,center-top
9515,tin,top
9516,tin whistle,center-top
9517,tin whistles,bottom
9518,tin(ii) chloride,bottom
9519,tintin,center-top
9520,tipitaka,top
9521,titanic,center-top
9522,titanium,center-top
9523,tl,center-bottom
9524,to kill a mockingbird,bottom
9525,tobacco,top
9526,tobacco smoke,top
9527,tobacco smoking,top
9528,tofu,center-top
9529,together hsbc and sos children,center-top
9530,togo,bottom
9531,togo child sponsorship,center-bottom
9532,tokelau,center-bottom
9533,tokio,center-top
9534,tokyo,top
9535,tolstoy,center-top
9536,toluene,center-top
9537,tom & jerry,center-bottom
9538,tom and jerry,center
9539,tonga,bottom
9540,tongan,center
9541,tongans,top
9542,tongas,top
9543,tony blair,center-bottom
9544,tony blair's,center-top
9545,tooth development,center-top
9546,top of the pops,center-bottom
9547,top quintile,center-bottom
9548,top-fermenting,center-top
9549,topological,bottom
9550,topologically,center-top
9551,topology,top
9552,tornadic,bottom
9553,tornado,top
9554,tornado season,center-bottom
9555,tornadoes,center-top
9556,tornados,center-top
9557,toronto,center-top
9558,"toronto, ontario",top
9559,total eclipses of the sun,center
9560,tottenham hotspur,top
9561,tottenham hotspur f.c.,center-bottom
9562,tour de france,top
9563,tourette syndrome,bottom
9564,tourism,center
9565,tourism industry,bottom
9566,tourist,center
9567,tourist attractions,top
9568,tourist towns,bottom
9569,tourists,center-bottom
9570,tours,center-top
9571,tours de france,bottom
9572,tower,top
9573,tower bridge,top
9574,tower of london,center-top
9575,town car,center-top
9576,towns,center-top
9577,toxics use reduction,center-bottom
9578,toy,center-bottom
9579,toy story,bottom
9580,toys,top
9581,track,center
9582,track and field,top
9583,trade union,top
9584,trade unionism,center-top
9585,trade unionists,center-top
9586,trade unions,top
9587,traditional japanese swords,bottom
9588,traditional music,top
9589,traditions,center-top
9590,trafalgar square,top
9591,train,top
9592,trains,center
9593,tramway,top
9594,trans-saharan,top
9595,trans-siberian railway,bottom
9596,transatlantic,center
9597,transatlantic slave trade,top
9598,transcontinental railroad,bottom
9599,transcontinental railroads,center-bottom
9600,transit of venus,bottom
9601,transport,top
9602,transportation,top
9603,transported,top
9604,trapdoor spiders,center
9605,treasure island,top
9606,treated,bottom
9607,treatments,center
9608,treaty of union,center-top
9609,treaty of versailles,top
9610,tree,top
9611,tree frog,top
9612,tree frogs,center
9613,tree sap,center-bottom
9614,tree sparrow,center-top
9615,treecreeper,center-bottom
9616,treelike,top
9617,trees,top
9618,trench,top
9619,trench system,center-top
9620,trench warfare,top
9621,trenches,top
9622,triassic,top
9623,triassic period,center-top
9624,triathlete,top
9625,triathlon,center-bottom
9626,tribal,center-bottom
9627,tribal chiefs,top
9628,tribe,top
9629,tribes,top
9630,triceratops,bottom
9631,trichinosis,center-bottom
9632,trichuris,center-top
9633,trigonometric,top
9634,trigonometric function,top
9635,trigonometric functions,top
9636,trigonometry,bottom
9637,trilogy of live-action films,bottom
9638,trimurti,top
9639,trinidad and tobago,top
9640,trinidadian music,bottom
9641,trinitarian,top
9642,trinity,top
9643,trinity college,top
9644,"trinity college, cambridge",top
9645,trinity test,center-bottom
9646,tripitaka,center-bottom
9647,tripiṭaka,center
9648,triple century in test cricket,center-bottom
9649,triple star,top
9650,tripoli,center-top
9651,triumph of the will,center-bottom
9652,trojan war,top
9653,troodon,center-top
